ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-06-23,1178.3872880000001,58.21375747944945,2232.7108024439426,1178.3872880000001,1178.3872880000001,-72.00796150864569,-72.00796150864569,-72.00796150864569,-18.303331205985764,-18.303331205985764,-18.303331205985764,-53.70463030265993,-53.70463030265993,-53.70463030265993,0.0,0.0,0.0,1106.3793264913545
2017-06-24,1179.4202300892857,82.17979062285703,2136.857596453388,1179.4202300892857,1179.4202300892857,-56.08826826752701,-56.08826826752701,-56.08826826752701,-24.37327919155569,-24.37327919155569,-24.37327919155569,-31.714989075971328,-31.714989075971328,-31.714989075971328,0.0,0.0,0.0,1123.3319618217588
2017-06-25,1180.4531721785713,137.64920322393093,2201.4688725741066,1180.4531721785713,1180.4531721785713,-23.32509298990798,-23.32509298990798,-23.32509298990798,-11.815558835584863,-11.815558835584863,-11.815558835584863,-11.509534154323118,-11.509534154323118,-11.509534154323118,0.0,0.0,0.0,1157.1280791886634
2017-06-26,1181.4861142678571,179.6658190352354,2250.076996362096,1181.4861142678571,1181.4861142678571,46.89985794827384,46.89985794827384,46.89985794827384,40.26270931536362,40.26270931536362,40.26270931536362,6.6371486329102165,6.6371486329102165,6.6371486329102165,0.0,0.0,0.0,1228.385972216131
2017-06-27,1182.519056357143,204.0014452787219,2257.322320485817,1182.519056357143,1182.519056357143,48.817339025512695,48.817339025512695,48.817339025512695,26.330921609542475,26.330921609542475,26.330921609542475,22.486417415970216,22.486417415970216,22.486417415970216,0.0,0.0,0.0,1231.3363953826556
2017-06-28,1183.5519984464286,210.61126625656706,2271.0703817648623,1183.5519984464286,1183.5519984464286,31.96434238706102,31.96434238706102,31.96434238706102,-3.876939131661686,-3.876939131661686,-3.876939131661686,35.8412815187227,35.8412815187227,35.8412815187227,0.0,0.0,0.0,1215.5163408334895
2017-06-29,1184.5849405357142,219.12746804821984,2321.5994965410846,1184.5849405357142,1184.5849405357142,38.32674423535268,38.32674423535268,38.32674423535268,-8.224522559961416,-8.224522559961416,-8.224522559961416,46.5512667953141,46.5512667953141,46.5512667953141,0.0,0.0,0.0,1222.9116847710668
2017-06-30,1185.617882625,161.55008021919082,2268.333939780595,1185.617882625,1185.617882625,36.21297318472219,36.21297318472219,36.21297318472219,-18.303331206003268,-18.303331206003268,-18.303331206003268,54.51630439072545,54.51630439072545,54.51630439072545,0.0,0.0,0.0,1221.8308558097222
2017-07-01,1186.6508247142858,185.32199985990277,2301.657342471268,1186.6508247142858,1186.6508247142858,35.31625091766599,35.31625091766599,35.31625091766599,-24.373279191543403,-24.373279191543403,-24.373279191543403,59.68953010920939,59.68953010920939,59.68953010920939,0.0,0.0,0.0,1221.9670756319517
2017-07-02,1187.6837668035714,198.95295590095304,2283.3052920430946,1187.6837668035714,1187.6837668035714,50.263347901631285,50.263347901631285,50.263347901631285,-11.815558835647451,-11.815558835647451,-11.815558835647451,62.078906737278736,62.078906737278736,62.078906737278736,0.0,0.0,0.0,1237.9471147052027
2017-07-03,1188.7167088928572,221.2007558993477,2228.7918150688865,1188.7167088928572,1188.7167088928572,102.01031884046404,102.01031884046404,102.01031884046404,40.2627093153488,40.2627093153488,40.2627093153488,61.74760952511523,61.74760952511523,61.74760952511523,0.0,0.0,0.0,1290.7270277333214
2017-07-04,1189.749650982143,231.65251853272858,2305.1115085396755,1189.749650982143,1189.749650982143,85.14406650704811,85.14406650704811,85.14406650704811,26.33092160952609,26.33092160952609,26.33092160952609,58.813144897522015,58.813144897522015,58.813144897522015,0.0,0.0,0.0,1274.8937174891912
2017-07-05,1190.7825930714287,154.35973479179225,2282.6984378988327,1190.7825930714287,1190.7825930714287,49.56826446622949,49.56826446622949,49.56826446622949,-3.876939131648219,-3.876939131648219,-3.876939131648219,53.445203597877715,53.445203597877715,53.445203597877715,0.0,0.0,0.0,1240.3508575376582
2017-07-06,1191.8155351607143,160.5821897280604,2316.314582436816,1191.8155351607143,1191.8155351607143,37.63775851237969,37.63775851237969,37.63775851237969,-8.224522559986696,-8.224522559986696,-8.224522559986696,45.862281072366386,45.862281072366386,45.862281072366386,0.0,0.0,0.0,1229.4532936730939
2017-07-07,1192.84847725,194.95545320513514,2190.5901880362203,1192.84847725,1192.84847725,18.023797956329982,18.023797956329982,18.023797956329982,-18.30333120598425,-18.30333120598425,-18.30333120598425,36.32712916231423,36.32712916231423,36.32712916231423,0.0,0.0,0.0,1210.87227520633
2017-07-08,1193.8814193392857,159.43514048579786,2229.077827941976,1193.8814193392857,1193.8814193392857,0.7678540797624948,0.7678540797624948,0.7678540797624948,-24.373279191548743,-24.373279191548743,-24.373279191548743,25.14113327131124,25.14113327131124,25.14113327131124,0.0,0.0,0.0,1194.649273419048
2017-07-09,1194.9143614285715,167.1240230651592,2259.5255064720745,1194.9143614285715,1194.9143614285715,0.8221784778138403,0.8221784778138403,0.8221784778138403,-11.815558835612917,-11.815558835612917,-11.815558835612917,12.637737313426758,12.637737313426758,12.637737313426758,0.0,0.0,0.0,1195.7365399063854
2017-07-10,1195.947303517857,163.8262440197403,2243.8558098830563,1195.947303517857,1195.947303517857,39.43777348496903,39.43777348496903,39.43777348496903,40.26270931534031,40.26270931534031,40.26270931534031,-0.8249358303712747,-0.8249358303712747,-0.8249358303712747,0.0,0.0,0.0,1235.3850770028262
2017-07-11,1196.980245607143,236.90356574739263,2176.749036707565,1196.980245607143,1196.980245607143,11.45882299682823,11.45882299682823,11.45882299682823,26.33092160950971,26.33092160950971,26.33092160950971,-14.872098612681478,-14.872098612681478,-14.872098612681478,0.0,0.0,0.0,1208.4390686039712
2017-07-12,1198.0131876964285,112.55097337354252,2153.966823703344,1198.0131876964285,1198.0131876964285,-32.997699294668394,-32.997699294668394,-32.997699294668394,-3.8769391317118886,-3.8769391317118886,-3.8769391317118886,-29.120760162956504,-29.120760162956504,-29.120760162956504,0.0,0.0,0.0,1165.0154884017602
2017-07-13,1199.0461297857144,81.76040982893267,2129.170380152127,1199.0461297857144,1199.0461297857144,-51.41295608659873,-51.41295608659873,-51.41295608659873,-8.224522560019249,-8.224522560019249,-8.224522560019249,-43.18843352657949,-43.18843352657949,-43.18843352657949,0.0,0.0,0.0,1147.6331736991156
2017-07-14,1200.079071875,117.56806800173479,2164.4359368018436,1200.079071875,1200.079071875,-75.00521037617368,-75.00521037617368,-75.00521037617368,-18.303331205975184,-18.303331205975184,-18.303331205975184,-56.701879170198495,-56.701879170198495,-56.701879170198495,0.0,0.0,0.0,1125.0738614988263
2017-07-15,1201.1120139642858,90.57568001898247,2165.952485292502,1201.1120139642858,1201.1120139642858,-93.67895106107467,-93.67895106107467,-93.67895106107467,-24.373279191548193,-24.373279191548193,-24.373279191548193,-69.30567186952648,-69.30567186952648,-69.30567186952648,0.0,0.0,0.0,1107.433062903211
2017-07-16,1202.1449560535714,70.35057907086691,2110.791200294661,1202.1449560535714,1202.1449560535714,-92.48593904981557,-92.48593904981557,-92.48593904981557,-11.815558835583817,-11.815558835583817,-11.815558835583817,-80.67038021423174,-80.67038021423174,-80.67038021423174,0.0,0.0,0.0,1109.6590170037557
2017-07-17,1203.1778981428572,148.42260010710453,2190.938444546578,1203.1778981428572,1203.1778981428572,-50.23744615164537,-50.23744615164537,-50.23744615164537,40.26270931532548,40.26270931532548,40.26270931532548,-90.50015546697087,-90.50015546697087,-90.50015546697087,0.0,0.0,0.0,1152.9404519912118
2017-07-18,1204.210840232143,137.06717161404055,2226.125044078923,1204.210840232143,1204.210840232143,-72.20861764856392,-72.20861764856392,-72.20861764856392,26.330921609559347,26.330921609559347,26.330921609559347,-98.53953925812326,-98.53953925812326,-98.53953925812326,0.0,0.0,0.0,1132.0022225835792
2017-07-19,1205.2437823214286,5.951012132687792,2099.399814375249,1205.2437823214286,1205.2437823214286,-108.45625644845252,-108.45625644845252,-108.45625644845252,-3.8769391316534754,-3.8769391316534754,-3.8769391316534754,-104.57931731679905,-104.57931731679905,-104.57931731679905,0.0,0.0,0.0,1096.7875258729762
2017-07-20,1206.2767244107142,32.54045697289788,2188.3633898919265,1206.2767244107142,1206.2767244107142,-116.68579128591252,-116.68579128591252,-116.68579128591252,-8.224522560008378,-8.224522560008378,-8.224522560008378,-108.46126872590412,-108.46126872590412,-108.46126872590412,0.0,0.0,0.0,1089.5909331248017
2017-07-21,1207.3096665,27.901805801141965,2110.5930830528323,1207.3096665,1207.3096665,-128.38501771951678,-128.38501771951678,-128.38501771951678,-18.30333120599269,-18.30333120599269,-18.30333120599269,-110.08168651352409,-110.08168651352409,-110.08168651352409,0.0,0.0,0.0,1078.9246487804833
2017-07-22,1208.3426085892859,43.48929881453955,2081.00751427604,1208.3426085892859,1208.3426085892859,-133.7668543095688,-133.7668543095688,-133.7668543095688,-24.373279191547642,-24.373279191547642,-24.373279191547642,-109.39357511802115,-109.39357511802115,-109.39357511802115,0.0,0.0,0.0,1074.575754279717
2017-07-23,1209.3755506785715,-43.66857110205752,2256.1590564847597,1209.3755506785715,1209.3755506785715,-118.22302148983869,-118.22302148983869,-118.22302148983869,-11.815558835543849,-11.815558835543849,-11.815558835543849,-106.40746265429485,-106.40746265429485,-106.40746265429485,0.0,0.0,0.0,1091.1525291887328
2017-07-24,1210.408492767857,111.283124287604,2179.4515883021445,1210.408492767857,1210.408492767857,-60.928090841295756,-60.928090841295756,-60.928090841295756,40.262709315267614,40.262709315267614,40.262709315267614,-101.19080015656337,-101.19080015656337,-101.19080015656337,0.0,0.0,0.0,1149.4804019265614
2017-07-25,1211.441434857143,142.34950477694065,2093.560087719141,1211.441434857143,1211.441434857143,-67.53503360103227,-67.53503360103227,-67.53503360103227,26.33092160950961,26.33092160950961,26.33092160950961,-93.86595521054188,-93.86595521054188,-93.86595521054188,0.0,0.0,0.0,1143.9064012561107
2017-07-26,1212.4743769464287,94.86233956764673,2115.6015616076547,1212.4743769464287,1212.4743769464287,-88.48378185166959,-88.48378185166959,-88.48378185166959,-3.876939131678579,-3.876939131678579,-3.876939131678579,-84.60684271999101,-84.60684271999101,-84.60684271999101,0.0,0.0,0.0,1123.990595094759
2017-07-27,1213.5073190357143,76.47472351497689,2132.882963246976,1213.5073190357143,1213.5073190357143,-81.8587926296032,-81.8587926296032,-81.8587926296032,-8.224522560033657,-8.224522560033657,-8.224522560033657,-73.63427006956954,-73.63427006956954,-73.63427006956954,0.0,0.0,0.0,1131.6485264061112
2017-07-28,1214.540261125,108.51546279694918,2127.3773531439315,1214.540261125,1214.540261125,-79.51343796049541,-79.51343796049541,-79.51343796049541,-18.30333120598362,-18.30333120598362,-18.30333120598362,-61.210106754511784,-61.210106754511784,-61.210106754511784,0.0,0.0,0.0,1135.0268231645045
2017-07-29,1215.5732032142857,91.40746474753824,2224.589614020259,1215.5732032142857,1215.5732032142857,-72.003697985253,-72.003697985253,-72.003697985253,-24.37327919154126,-24.37327919154126,-24.37327919154126,-47.630418793711726,-47.630418793711726,-47.630418793711726,0.0,0.0,0.0,1143.5695052290328
2017-07-30,1216.6061453035716,165.0862240487557,2220.435415835594,1216.6061453035716,1216.6061453035716,-45.03329396266196,-45.03329396266196,-45.03329396266196,-11.81555883560644,-11.81555883560644,-11.81555883560644,-33.21773512705552,-33.21773512705552,-33.21773512705552,0.0,0.0,0.0,1171.5728513409097
2017-07-31,1217.6390873928572,131.15708578653843,2276.21078186822,1217.6390873928572,1217.6390873928572,21.95007330550962,21.95007330550962,21.95007330550962,40.26270931530217,40.26270931530217,40.26270931530217,-18.31263600979255,-18.31263600979255,-18.31263600979255,0.0,0.0,0.0,1239.5891606983669
