CityName,Date,No_of_complain_received,No_of_complain_disposed,No_of_complain_pending
Surat,25/06/2017,1,157,1146
Surat,06/07/2017,0,665,1146
Surat,09/07/2017,0,98,1146
Surat,12/07/2017,1,492,1147
Surat,14/07/2017,0,572,1148
Surat,22/07/2017,1,270,1150
Surat,28/07/2017,2,524,1158
Surat,03/08/2017,1,721,1166
Surat,06/08/2017,0,162,1166
Surat,09/08/2017,1,733,1168
Surat,10/08/2017,1,698,1169
Surat,12/08/2017,0,404,1169
Surat,15/08/2017,0,163,1172
Surat,19/08/2017,1,603,1177
Surat,22/08/2017,4,758,1188
Surat,23/08/2017,3,605,1191
Surat,25/08/2017,0,134,1193
Surat,26/08/2017,5,259,1198
Surat,31/08/2017,7,481,1226
Surat,01/09/2017,6,697,1232
Surat,05/09/2017,7,177,1263
Surat,11/09/2017,52,895,1428
Surat,26/09/2017,88,795,1696
Surat,05/10/2017,45,506,1600
Surat,06/10/2017,81,486,1647
Surat,11/10/2017,85,866,1597
Surat,27/10/2017,37,373,1547
Surat,31/10/2017,36,168,1536
Surat,03/11/2017,31,559,1462
Surat,05/11/2017,19,97,1491
Surat,14/11/2017,29,638,1427
Surat,18/11/2017,24,405,1376
Surat,20/11/2017,30,514,1391
Surat,22/11/2017,19,439,1315
Surat,27/11/2017,41,448,1381
Surat,06/12/2017,37,414,1383
Surat,17/12/2017,18,170,1387
Surat,26/12/2017,54,574,1490
Surat,29/12/2017,32,380,1422
Surat,08/01/2018,60,452,1452
Surat,12/01/2018,48,343,1488
Surat,15/01/2018,35,411,1492
Surat,30/01/2018,36,541,1493
Surat,06/02/2018,42,434,1536
Surat,13/02/2018,19,226,1482
Surat,21/02/2018,28,434,1386
Surat,23/02/2018,47,320,1436
Surat,24/02/2018,23,326,1422
Surat,26/02/2018,39,740,1404
Surat,03/03/2018,18,463,1324
Surat,05/03/2018,37,645,1350
Surat,06/03/2018,39,501,1338
Surat,16/03/2018,22,404,1304
Surat,19/03/2018,36,571,1340
Surat,29/03/2018,26,173,1364
Surat,30/03/2018,27,204,1370
Surat,31/03/2018,57,370,1410
Surat,07/04/2018,38,297,1409
Surat,08/04/2018,25,138,1431
Surat,15/04/2018,15,165,1384
Surat,22/04/2018,23,99,1353
Surat,04/05/2018,51,297,1426
Surat,21/05/2018,54,578,1475
Surat,23/05/2018,55,511,1473
Surat,03/06/2018,55,186,1502
Surat,07/06/2018,36,433,1472
Surat,14/06/2018,48,440,1453
Surat,21/06/2018,29,530,1447
Surat,22/06/2018,40,532,1464
Surat,09/07/2018,49,1139,1575
Surat,11/07/2018,57,926,1518
Surat,17/07/2018,29,1314,1458
Surat,18/07/2018,57,1015,1453
Surat,19/07/2018,38,712,1479
Surat,24/07/2018,60,1373,1548
Surat,29/07/2018,15,261,1439
Surat,05/08/2018,35,220,1592
Surat,10/08/2018,87,523,1751
Surat,11/08/2018,59,447,1765
Surat,25/08/2018,35,413,1580
Surat,02/09/2018,40,158,1649
Surat,10/09/2018,48,540,1568
Surat,21/09/2018,18,247,1539
Surat,01/10/2018,55,743,1618
Surat,02/10/2018,27,248,1539
Surat,04/10/2018,46,480,1475
Surat,05/10/2018,54,542,1493
Surat,17/10/2018,50,568,1477
Surat,21/10/2018,19,215,1520
Surat,24/10/2018,47,747,1476
Surat,29/10/2018,43,653,1428
Surat,03/11/2018,83,553,1728
Surat,13/11/2018,36,520,1436
Surat,14/11/2018,23,512,1447
Surat,16/11/2018,54,421,1499
Surat,19/11/2018,59,510,1545
Surat,20/11/2018,45,351,1513
Surat,25/11/2018,24,98,1434
Surat,26/11/2018,40,455,1448
Surat,29/11/2018,30,379,1418
Surat,08/12/2018,50,346,1485
Surat,11/12/2018,61,457,1519
Surat,14/12/2018,98,405,1632
Surat,08/01/2019,75,484,1731
Surat,21/01/2019,93,487,1753
Surat,31/01/2019,45,355,1485
Surat,01/02/2019,47,328,1475
Surat,12/02/2019,67,405,1548
Surat,14/02/2019,45,342,1518
Surat,15/02/2019,32,280,1521
Surat,20/02/2019,48,379,1544
Surat,22/02/2019,64,360,1589
Surat,23/02/2019,41,254,1592
Surat,02/03/2019,51,259,1502
Surat,03/03/2019,19,86,1514
Surat,06/03/2019,51,449,1430
Surat,08/03/2019,37,285,1440
Surat,09/03/2019,24,289,1436
Surat,10/03/2019,29,93,1447
Surat,12/03/2019,57,429,1461
Surat,17/03/2019,19,108,1402
Surat,21/03/2019,7,98,1254
Surat,24/03/2019,7,111,1264
Surat,29/03/2019,30,377,1235
Surat,02/04/2019,22,544,1251
Surat,04/04/2019,17,364,1231
Surat,07/04/2019,7,76,1246
Surat,09/04/2019,28,474,1251
Surat,13/04/2019,9,228,1258
Surat,18/04/2019,73,435,1371
Surat,25/04/2019,24,571,1244
Surat,30/04/2019,19,579,1251
Surat,11/05/2019,21,293,1248
Surat,18/05/2019,39,332,1390
Surat,26/05/2019,41,126,1460
Surat,30/05/2019,63,421,1509
Surat,31/05/2019,59,393,1517
Surat,03/06/2019,61,690,1543
Surat,04/06/2019,83,600,1553
Surat,07/06/2019,50,505,1464
Surat,24/06/2019,134,791,1447
Surat,29/06/2019,29,717,1442
Surat,30/06/2019,15,203,1417
Surat,01/07/2019,50,904,1449
Surat,06/07/2019,38,727,1348
Surat,19/07/2019,32,472,1327
Surat,24/07/2019,25,726,1286
Surat,03/08/2019,29,548,1310
Surat,10/08/2019,31,508,1362
Surat,25/08/2019,14,228,1274
Surat,31/08/2019,33,515,1389
Surat,01/09/2019,21,229,1390
Surat,05/09/2019,46,717,1459
Surat,09/09/2019,87,760,1505
Surat,14/09/2019,36,866,1352
Surat,15/09/2019,27,249,1359
Surat,07/10/2019,65,659,1500
Surat,08/10/2019,29,302,1476
Surat,18/10/2019,61,574,1485
Surat,20/10/2019,26,237,1521
Surat,22/10/2019,83,605,1657
Surat,25/10/2019,53,480,1817
Surat,02/11/2019,33,402,1498
Surat,04/11/2019,63,423,1520
Surat,09/11/2019,25,386,1435
Surat,10/11/2019,15,185,1414
Surat,11/11/2019,37,558,1421
Surat,18/11/2019,29,542,1400
Surat,22/11/2019,45,404,1401
Surat,29/11/2019,29,365,1433
Surat,14/12/2019,40,338,1727
Surat,15/12/2019,25,129,1703
Surat,26/12/2019,53,424,1595
Surat,01/01/2020,29,464,1451
Surat,09/01/2020,49,391,1465
Surat,15/01/2020,29,464,1431
Surat,18/01/2020,70,366,1528
Surat,19/01/2020,31,131,1541
Surat,27/01/2020,48,518,1510
Surat,29/01/2020,64,477,1513
Surat,30/01/2020,78,351,1558
Surat,06/02/2020,39,395,1463
Surat,07/02/2020,44,388,1496
Surat,08/02/2020,22,360,1493
Surat,13/02/2020,73,353,1600
Surat,14/02/2020,70,351,1626
Surat,16/02/2020,57,136,1712
Surat,18/02/2020,85,477,1860
Surat,19/02/2020,65,501,1754
Surat,05/03/2020,141,446,1794
Surat,14/03/2020,60,404,1804
Surat,16/03/2020,76,634,1795
Surat,26/03/2020,27,536,1830
Surat,27/03/2020,37,626,1851
Surat,01/04/2020,15,547,1859
Surat,08/04/2020,16,365,1875
Surat,14/04/2020,15,304,1923
Surat,22/04/2020,26,294,1990
Surat,29/04/2020,34,310,2034
Surat,02/05/2020,14,268,2043
Surat,03/05/2020,22,175,2058
Surat,08/05/2020,15,245,2047
Surat,09/05/2020,20,268,2059
Surat,29/05/2020,59,328,2039
Surat,08/06/2020,64,732,1945
Surat,09/06/2020,94,663,1979
Surat,12/06/2020,90,627,2069
Surat,14/06/2020,59,251,2070
Surat,26/06/2020,81,409,2320
Surat,30/06/2020,85,433,2346
Surat,05/07/2020,76,154,2502
Surat,06/07/2020,119,493,2532
Surat,13/07/2020,97,537,2771
Surat,15/07/2020,109,699,2778
Surat,19/07/2020,54,282,2915
Surat,20/07/2020,120,566,2961
Surat,24/07/2020,106,419,3046
Surat,26/07/2020,94,280,3114
Surat,01/08/2020,34,366,3163
Surat,06/08/2020,88,359,3346
Surat,13/08/2020,123,332,3241
Surat,06/09/2020,122,315,3835
Surat,07/09/2020,190,707,3943
Surat,14/09/2020,225,554,4153
Surat,16/09/2020,147,501,3920
Surat,18/09/2020,129,528,3989
Surat,23/09/2020,147,452,4072
Surat,24/09/2020,123,500,4106
Surat,29/09/2020,134,494,4051
Surat,30/09/2020,178,396,4140
Surat,03/10/2020,155,526,4076
Surat,07/10/2020,187,496,4318
Surat,09/10/2020,144,539,4185
Surat,11/10/2020,98,214,4115
Surat,14/10/2020,101,458,4180
Surat,22/10/2020,144,392,4414
Surat,24/10/2020,159,302,4571
Surat,25/10/2020,98,119,4648
Surat,29/10/2020,126,373,4701
Surat,03/11/2020,223,470,4778
Surat,09/11/2020,145,607,4795
Surat,14/11/2020,45,302,4773
Surat,20/11/2020,112,387,4721
Surat,26/11/2020,109,326,4925
Surat,03/12/2020,102,523,4929
Surat,04/12/2020,97,354,4901
Surat,18/12/2020,87,534,4702
Surat,20/12/2020,65,188,4857
Surat,22/12/2020,125,503,5005
Surat,01/01/2021,171,389,5186
Surat,09/01/2021,99,321,5471
Surat,10/01/2021,94,134,5434
Surat,11/01/2021,182,503,5550
Surat,15/01/2021,109,425,5549
Surat,16/01/2021,106,503,5568
Surat,19/01/2021,140,581,5828
Surat,01/02/2021,123,493,5417
Surat,16/02/2021,138,671,3396
Surat,23/02/2021,55,543,2572
Surat,06/03/2021,138,739,2355
Surat,15/03/2021,79,769,2423
Surat,24/03/2021,160,671,2945
Surat,29/03/2021,41,239,2727
Surat,13/04/2021,80,478,3259
Surat,15/04/2021,77,294,3234
Surat,17/04/2021,110,565,3326
Surat,29/04/2021,130,589,4072
Surat,30/04/2021,110,485,4067
Surat,05/05/2021,71,523,3897
Surat,08/05/2021,68,517,3888
Surat,13/05/2021,118,592,4049
Surat,14/05/2021,66,361,3922
Surat,16/05/2021,113,324,4021
Surat,18/05/2021,554,393,4283
Surat,20/05/2021,227,823,4389
Surat,21/05/2021,175,907,4359
Surat,25/05/2021,190,920,4525
Surat,28/05/2021,125,703,4597
Surat,29/05/2021,139,562,4629
Surat,05/06/2021,161,555,4386
Surat,09/06/2021,203,658,4524
Surat,14/06/2021,135,661,3999
Surat,16/06/2021,144,673,3896
Surat,29/06/2021,167,669,4225
Surat,30/06/2021,172,575,4311
Surat,06/07/2021,224,640,4569
Surat,10/07/2021,174,471,4507
Surat,11/07/2021,126,200,4469
Surat,21/07/2021,148,506,4777
Surat,07/08/2021,112,584,4366
Surat,11/08/2021,150,702,4422
Surat,13/08/2021,113,493,3981
Surat,16/08/2021,108,474,3885
Surat,21/08/2021,139,717,3485
Surat,31/08/2021,110,711,3501
Surat,01/09/2021,135,688,3481
Surat,05/09/2021,126,219,3884
Surat,09/09/2021,205,684,3966
Surat,22/09/2021,135,957,3861
Surat,24/09/2021,159,698,3644
Surat,05/10/2021,196,968,4109
Surat,12/10/2021,220,949,4558
Surat,15/10/2021,101,339,4457
Surat,17/10/2021,108,311,4571
Surat,29/10/2021,127,534,4601
Surat,02/11/2021,142,588,5048
Surat,23/11/2021,174,734,5015
Surat,05/12/2021,78,253,4790
Surat,11/12/2021,130,443,5149
Surat,12/12/2021,108,195,5152
Surat,14/12/2021,144,519,5053
Surat,19/12/2021,81,187,5235
Surat,31/12/2021,192,521,5744
Surat,01/01/2022,163,544,5852
Surat,11/01/2022,211,603,6693
Surat,19/01/2022,185,629,6680
Surat,22/01/2022,186,527,6713
Surat,28/01/2022,157,621,6866
Surat,01/02/2022,232,770,6679
Surat,04/02/2022,158,611,6396
Surat,07/02/2022,178,932,6241
Surat,08/02/2022,259,602,6246
Surat,14/02/2022,161,887,6107
Surat,15/02/2022,119,600,6089
Surat,20/02/2022,112,261,6254
Surat,22/02/2022,189,703,6430
Surat,26/02/2022,130,514,6690
Surat,27/02/2022,99,236,6708
Surat,05/03/2022,183,651,6744
Surat,06/03/2022,107,223,6833
Surat,07/03/2022,260,743,6964
Surat,08/03/2022,220,786,7047
Surat,10/03/2022,178,758,7204
Surat,11/03/2022,190,800,7337
Surat,17/03/2022,202,631,7697
Surat,19/03/2022,236,941,7575
Surat,23/03/2022,214,745,7952
Surat,25/03/2022,345,739,8292
Surat,01/04/2022,163,661,8179
Surat,16/04/2022,172,420,8956
Surat,19/04/2022,216,767,9122
Surat,20/04/2022,237,785,9115
Surat,03/05/2022,95,545,8530
Surat,05/05/2022,229,564,8510
Surat,13/05/2022,153,604,8253
Surat,16/05/2022,157,627,7786
Surat,27/05/2022,250,758,7417
Surat,29/05/2022,111,289,7327
Surat,01/06/2022,156,722,6612
Surat,02/06/2022,147,688,6351
Surat,09/06/2022,244,700,6165
Surat,13/06/2022,194,987,6116
Surat,15/06/2022,123,812,5359
Surat,16/06/2022,234,721,5154
Surat,30/06/2022,158,750,4699
Surat,01/07/2022,173,830,4661
Surat,05/07/2022,178,1108,4469
Surat,15/07/2022,75,805,3016
Surat,16/07/2022,94,885,3027
Surat,21/07/2022,99,922,2966
Surat,26/07/2022,105,1007,3087
Surat,05/08/2022,130,724,3220
Surat,10/08/2022,193,1037,3509
Surat,16/08/2022,71,790,3365
Surat,29/08/2022,175,806,3548
Surat,31/08/2022,51,517,3213
Surat,01/09/2022,160,830,3316
Surat,02/09/2022,128,796,3425
Surat,04/09/2022,102,413,3570
Surat,06/09/2022,202,701,3623
Surat,10/09/2022,128,596,3555
Surat,15/09/2022,117,731,3600
Surat,17/09/2022,118,735,3723
Surat,25/09/2022,91,460,4020
Surat,30/09/2022,128,704,4108
Surat,09/10/2022,64,267,3980
Surat,11/10/2022,136,795,4016
Surat,13/10/2022,176,947,4028
Surat,15/10/2022,138,754,4103
Surat,17/10/2022,172,846,4284
Surat,07/11/2022,129,870,4318
Surat,09/11/2022,174,762,4291
Surat,12/11/2022,140,707,4123
Surat,15/11/2022,125,774,4126
Surat,16/11/2022,147,842,4086
Surat,20/11/2022,92,452,4292
Surat,22/11/2022,157,833,4431
Surat,30/11/2022,101,459,4441
Surat,02/12/2022,99,420,4030
Surat,07/12/2022,155,1436,4145
Surat,14/12/2022,140,652,4302
Surat,21/12/2022,281,763,4844
Surat,02/01/2023,219,892,4848
Surat,05/01/2023,221,807,5003
Surat,16/01/2023,183,949,4576
Surat,30/01/2023,196,964,4286
Surat,02/02/2023,269,862,4498
Surat,03/02/2023,173,746,4504
Surat,08/02/2023,194,970,4656
Surat,10/02/2023,173,776,4574
Surat,14/02/2023,167,775,4652
Surat,15/02/2023,195,656,4408
Surat,16/02/2023,193,921,4525
Surat,20/02/2023,201,1081,4717
Surat,26/02/2023,125,403,4710
Surat,04/03/2023,211,1107,4865
Surat,24/03/2023,206,958,4656
Surat,27/03/2023,210,960,4781
Surat,08/04/2023,135,549,5084
Surat,19/04/2023,281,961,4908
Surat,24/04/2023,184,1083,4987
Surat,03/05/2023,222,717,5427
Surat,09/05/2023,234,550,5460
Surat,10/05/2023,199,667,5386
Surat,18/05/2023,191,640,5055
Surat,23/05/2023,251,731,5381
Surat,26/05/2023,208,617,5478
Surat,08/06/2023,233,858,5304
Surat,15/06/2023,302,874,5884
Surat,18/06/2023,176,284,6064
Surat,27/06/2023,335,1014,6070
Surat,28/06/2023,310,962,5850
Surat,30/06/2023,256,1168,5770
Surat,06/07/2023,310,1367,5801
Surat,07/07/2023,252,1075,5735
Surat,14/07/2023,275,1160,5551
Surat,15/07/2023,217,1355,5522
Surat,18/07/2023,235,1258,5589
Surat,21/07/2023,278,1415,5765
Surat,23/07/2023,171,521,5923
Surat,24/07/2023,274,1168,5988
Surat,25/07/2023,316,1149,6119
Surat,27/07/2023,229,1068,6160
Surat,29/07/2023,162,662,5985
Surat,02/08/2023,356,956,6222
Surat,06/08/2023,137,477,6503
Surat,13/08/2023,166,395,6993
Surat,21/08/2023,237,976,6912
Surat,23/08/2023,235,798,6909
Surat,26/08/2023,186,636,6370
Surat,04/09/2023,321,818,6555
Surat,07/09/2023,184,298,6610
Surat,10/09/2023,159,243,6611
Surat,16/09/2023,307,778,7055
Surat,03/10/2023,254,1155,7315
Surat,08/10/2023,170,395,6989
Surat,17/10/2023,338,943,7697
Surat,20/10/2023,233,1063,7886
Surat,26/10/2023,266,840,7918
Surat,08/11/2023,286,937,7846
Surat,09/11/2023,302,821,7727
Surat,15/11/2023,61,396,7080
Surat,17/11/2023,88,897,5553
Surat,19/11/2023,39,264,5352
Surat,28/11/2023,227,769,4856
Surat,04/12/2023,206,863,4854
Surat,09/12/2023,177,628,5036
Surat,10/12/2023,120,268,4988
Surat,12/12/2023,266,982,5007
Surat,20/12/2023,227,741,5157
Surat,24/12/2023,120,306,4736
Surat,02/01/2024,169,901,4557
Surat,09/01/2024,257,705,4638
Surat,13/01/2024,107,722,4347
Surat,14/01/2024,66,214,4348
Surat,22/01/2024,103,613,4565
Surat,23/01/2024,223,770,4610
Surat,04/02/2024,153,275,5116
Surat,09/02/2024,200,719,5274
Surat,15/02/2024,218,773,5657
Surat,18/02/2024,168,250,5761
Surat,22/02/2024,187,488,5609
Surat,03/03/2024,160,258,5398
Surat,08/03/2024,146,338,5025
Surat,10/03/2024,116,272,4979
Surat,12/03/2024,177,856,4792
Surat,15/03/2024,233,955,4715
Surat,18/03/2024,301,1150,4981
Surat,22/03/2024,248,854,5515
Surat,01/04/2024,183,983,4751
Surat,16/04/2024,215,722,4748
Surat,18/04/2024,199,851,4672
Surat,27/04/2024,136,498,4967
Surat,28/04/2024,115,202,4903
Surat,06/05/2024,240,732,5766
Surat,14/05/2024,192,745,5611
Surat,15/05/2024,191,728,5560
Surat,19/05/2024,161,207,5783
Surat,27/05/2024,292,827,5744
Surat,29/05/2024,359,723,5981
Surat,31/05/2024,300,625,6221
Surat,01/06/2024,279,806,6291
Surat,08/06/2024,293,706,6537
Surat,09/06/2024,153,254,6473
Surat,11/06/2024,306,848,6996
Surat,14/06/2024,461,764,7461
Surat,15/06/2024,335,935,7487
Surat,16/06/2024,234,323,7537
Surat,22/06/2024,227,858,7470
Surat,27/06/2024,459,1088,8162
Surat,30/06/2024,304,384,8371
Surat,11/07/2024,401,1107,9563
Surat,12/07/2024,306,1138,9324
Surat,28/07/2024,189,651,7594
Surat,01/08/2024,292,1367,7791
Surat,08/08/2024,313,1014,8443
Surat,09/08/2024,435,1004,8855
Surat,13/08/2024,446,1024,9083
Surat,23/08/2024,393,1016,9219
Surat,25/08/2024,177,323,8942
Surat,13/09/2024,459,848,10739
Surat,18/09/2024,315,962,10184
Surat,19/09/2024,342,990,10240
Surat,09/10/2024,347,874,10204
Surat,14/10/2024,330,1098,9983
Surat,16/10/2024,360,1001,9962
Surat,17/10/2024,240,812,10015
Surat,30/10/2024,251,816,11140
Surat,07/11/2024,191,915,9827
Surat,12/11/2024,209,645,9837
Surat,19/11/2024,207,741,9510
Surat,26/11/2024,251,721,9143
Surat,01/12/2024,93,189,8309
Surat,04/12/2024,237,612,8248
Surat,22/12/2024,140,226,8525
Surat,24/12/2024,316,782,8881
Surat,27/12/2024,226,715,8911
Surat,01/01/2025,224,843,8617
Surat,18/01/2025,228,829,8698
Surat,20/01/2025,350,862,9076
Surat,23/01/2025,269,717,9372
Surat,31/01/2025,227,791,9457
Surat,03/02/2025,160,816,9084
Surat,05/02/2025,140,494,8892
Surat,06/02/2025,219,694,8912
Surat,08/02/2025,182,491,8829
Surat,10/02/2025,170,753,8744
Surat,11/02/2025,174,659,8588
Surat,13/02/2025,203,693,8535
Surat,19/02/2025,213,675,8976
Surat,22/02/2025,200,545,8917
Surat,01/03/2025,189,709,8868
Surat,09/03/2025,131,283,9010
Surat,11/03/2025,226,793,9066
Surat,14/03/2025,126,249,8665
Surat,23/03/2025,130,300,8663
Surat,08/04/2025,207,709,9040
Surat,16/04/2025,195,669,8890
Surat,20/04/2025,148,222,8755
Surat,24/04/2025,192,702,8901
Surat,27/04/2025,108,249,8375
Surat,02/05/2025,163,657,8270
Surat,07/05/2025,254,739,8193
Surat,17/05/2025,143,636,7505
Surat,19/05/2025,250,652,7730
Surat,20/05/2025,203,665,7656
Surat,24/05/2025,221,576,7717
Surat,25/05/2025,105,285,7472
Surat,26/05/2025,189,928,7629
Surat,29/05/2025,239,620,7560
Surat,30/05/2025,271,806,7653
Surat,01/06/2025,166,287,7560
Surat,08/06/2025,126,231,7403
Surat,13/06/2025,209,636,7435
Surat,17/06/2025,432,1003,8041
Surat,20/07/2025,89,402,6295
Surat,21/07/2025,213,1060,6503
Surat,01/08/2025,199,758,6089
Surat,12/08/2025,233,895,6550
Surat,23/08/2025,220,713,7062
Surat,30/08/2025,178,1010,6635
Surat,03/09/2025,282,1346,7045
Surat,11/09/2025,1115,1074,10073
Surat,27/06/2017,0,842,1146
Surat,15/07/2017,1,537,1149
Surat,16/07/2017,0,132,1149
Surat,19/07/2017,0,545,1149
Surat,24/07/2017,0,643,1150
